GWHAOTP00000001	GWHAOTP00000001	OriSeqID=Sbar1	Len=23709848	putative	Sbar1C163T23;Sbar1E163T9;Sbar1C164T6;Sbar1A164T61;Sbar1C164T9;Sbar1A164T63;Sbar1A164T64;Sbar1P164T58;Sbar1P164T59;Sbar1A165T86;Sbar1P165T37;Sbar1A165T87;Sbar1A165T88;Sbar1P165T67;Sbar1A166T168;Sbar1A166T169;Sbar1A166T170;Sbar1C166T14;Sbar1A166T162;Sbar1A166T163;Sbar1A166T171;Sbar1A166T172;Sbar1A166T173;Sbar1E166T0;Sbar1A166T164;Sbar1A166T165;Sbar1P166T93;Sbar1C166T29	Sbar1C163T23;Sbar1E163T9;Sbar1C164T6;Sbar1A164T61;Sbar1C164T9;Sbar1A164T63;Sbar1A164T64;Sbar1P164T58;Sbar1P164T59;Sbar1A165T86;Sbar1P165T37;Sbar1A165T87;Sbar1A165T88;Sbar1P165T67;Sbar1A166T168;Sbar1A166T169;Sbar1A166T170;Sbar1C166T14;Sbar1A166T162;Sbar1A166T163;Sbar1A166T171;Sbar1A166T172;Sbar1A166T173;Sbar1E166T0;Sbar1A166T164;Sbar1A166T165;Sbar1P166T93;Sbar1C166T29
GWHAOTP00000005	GWHAOTP00000005	OriSeqID=Sbar5	Len=33867999	terpene	Sbar5C281T29;Sbar5A281T143;Sbar5A281T144;Sbar5A281T135;Sbar5A281T145;Sbar5A281T136;Sbar5A281T137;Sbar5A281T146;Sbar5A282T121;Sbar5A282T116;Sbar5A282T117;Sbar5P282T52;Sbar5C282T18;Sbar5C282T19;Sbar5C282T20;Sbar5A282T119	Sbar5C281T29;Sbar5A281T143;Sbar5A281T144;Sbar5A281T135;Sbar5A281T145;Sbar5A281T136;Sbar5A281T137;Sbar5A281T146;Sbar5A282T121;Sbar5A282T116;Sbar5A282T117;Sbar5P282T52;Sbar5C282T18;Sbar5C282T19;Sbar5C282T20;Sbar5A282T119
GWHAOTP00000005	GWHAOTP00000005	OriSeqID=Sbar5	Len=33867999	terpene	Sbar5A285T202;Sbar5C285T36;Sbar5A285T204;Sbar5C285T38;Sbar5A285T207;Sbar5A285T208;Sbar5A285T215;Sbar5A285T209;Sbar5E285T12;Sbar5A285T216;Sbar5A285T217	Sbar5A285T202;Sbar5C285T36;Sbar5A285T204;Sbar5C285T38;Sbar5A285T207;Sbar5A285T208;Sbar5A285T215;Sbar5A285T209;Sbar5E285T12;Sbar5A285T216;Sbar5A285T217
GWHAOTP00000005	GWHAOTP00000005	OriSeqID=Sbar5	Len=33867999	cyclopeptide	Sbar5E321T10;Sbar5C321T28;Sbar5C321T22;Sbar5C321T30;Sbar5A322T228;Sbar5A322T218;Sbar5P322T48;Sbar5C322T38;Sbar5A322T229;Sbar5A322T219;Sbar5A322T220;Sbar5A322T221;Sbar5A322T230;Sbar5A322T231;Sbar5A322T222;Sbar5A322T223;Sbar5A322T232;Sbar5P322T202;Sbar5P322T123;Sbar5A322T233;Sbar5C322T35;Sbar5C322T36;Sbar5A322T227;Sbar5C322T46;Sbar5A323T170;Sbar5P323T35;Sbar5C323T20;Sbar5A323T162;Sbar5C323T31;Sbar5A323T163;Sbar5C323T32;Sbar5C323T33;Sbar5P323T67;Sbar5A323T175	Sbar5E321T10;Sbar5C321T28;Sbar5C321T22;Sbar5C321T30;Sbar5A322T228;Sbar5A322T218;Sbar5P322T48;Sbar5C322T38;Sbar5A322T229;Sbar5A322T219;Sbar5A322T220;Sbar5A322T221;Sbar5A322T230;Sbar5A322T231;Sbar5A322T222;Sbar5A322T223;Sbar5A322T232;Sbar5P322T202;Sbar5P322T123;Sbar5A322T233;Sbar5C322T35;Sbar5C322T36;Sbar5A322T227;Sbar5C322T46;Sbar5A323T170;Sbar5P323T35;Sbar5C323T20;Sbar5A323T162;Sbar5C323T31;Sbar5A323T163;Sbar5C323T32;Sbar5C323T33;Sbar5P323T67;Sbar5A323T175
GWHAOTP00000005	GWHAOTP00000005	OriSeqID=Sbar5	Len=33867999	putative	Sbar5A326T158;Sbar5C326T33;Sbar5A326T160;Sbar5A326T161;Sbar5A326T162;Sbar5A326T157;Sbar5C326T26;Sbar5C326T27;Sbar5C326T28;Sbar5C326T29;Sbar5C326T30;Sbar5P326T126;Sbar5A326T163	Sbar5A326T158;Sbar5C326T33;Sbar5A326T160;Sbar5A326T161;Sbar5A326T162;Sbar5A326T157;Sbar5C326T26;Sbar5C326T27;Sbar5C326T28;Sbar5C326T29;Sbar5C326T30;Sbar5P326T126;Sbar5A326T163
GWHAOTP00000006	GWHAOTP00000006	OriSeqID=Sbar6	Len=21317926	putative	Sbar6E185T1;Sbar6C185T10;Sbar6C185T11;Sbar6P186T23;Sbar6P186T42;Sbar6A186T70;Sbar6A186T69;Sbar6A186T71;Sbar6P186T64;Sbar6P186T65	Sbar6E185T1;Sbar6C185T10;Sbar6C185T11;Sbar6P186T23;Sbar6P186T42;Sbar6A186T70;Sbar6A186T69;Sbar6A186T71;Sbar6P186T64;Sbar6P186T65
GWHAOTP00000007	GWHAOTP00000007	OriSeqID=Sbar7	Len=21482372	saccharide	Sbar7C194T24;Sbar7C194T25;Sbar7A194T159;Sbar7P194T133;Sbar7A194T160;Sbar7C194T34	Sbar7C194T24;Sbar7C194T25;Sbar7A194T159;Sbar7P194T133;Sbar7A194T160;Sbar7C194T34
GWHAOTP00000008	GWHAOTP00000008	OriSeqID=Sbar8	Len=19583769	alkaloid	Sbar8E29T9;Sbar8A29T101;Sbar8A29T102;Sbar8E29T4;Sbar8A29T103;Sbar8C30T15;Sbar8A30T54;Sbar8C30T18;Sbar8A30T55;Sbar8E30T0;Sbar8E30T6;Sbar8A30T57;Sbar8A30T58;Sbar8A30T59;Sbar8E30T1;Sbar8A30T60;Sbar8C31T12;Sbar8A31T83;Sbar8A31T84;Sbar8A31T81;Sbar8A31T85;Sbar8A31T86;Sbar8A31T87;Sbar8A31T88;Sbar8A31T89;Sbar8C31T29;Sbar8C31T19;Sbar8E31T2;Sbar8A31T91;Sbar8A31T92;Sbar8C31T33;Sbar8C31T21;Sbar8C32T16;Sbar8A32T120;Sbar8C32T19;Sbar8A32T121;Sbar8A32T126;Sbar8E32T5	Sbar8E29T9;Sbar8A29T101;Sbar8A29T102;Sbar8E29T4;Sbar8A29T103;Sbar8C30T15;Sbar8A30T54;Sbar8C30T18;Sbar8A30T55;Sbar8E30T0;Sbar8E30T6;Sbar8A30T57;Sbar8A30T58;Sbar8A30T59;Sbar8E30T1;Sbar8A30T60;Sbar8C31T12;Sbar8A31T83;Sbar8A31T84;Sbar8A31T81;Sbar8A31T85;Sbar8A31T86;Sbar8A31T87;Sbar8A31T88;Sbar8A31T89;Sbar8C31T29;Sbar8C31T19;Sbar8E31T2;Sbar8A31T91;Sbar8A31T92;Sbar8C31T33;Sbar8C31T21;Sbar8C32T16;Sbar8A32T120;Sbar8C32T19;Sbar8A32T121;Sbar8A32T126;Sbar8E32T5
GWHAOTP00000008	GWHAOTP00000008	OriSeqID=Sbar8	Len=19583769	saccharide	Sbar8C38T30;Sbar8C38T31;Sbar8C38T32;Sbar8A38T150;Sbar8C38T33;Sbar8C38T34;Sbar8A38T152;Sbar8A38T153;Sbar8A38T154	Sbar8C38T30;Sbar8C38T31;Sbar8C38T32;Sbar8A38T150;Sbar8C38T33;Sbar8C38T34;Sbar8A38T152;Sbar8A38T153;Sbar8A38T154
GWHAOTP00000008	GWHAOTP00000008	OriSeqID=Sbar8	Len=19583769	cyclopeptide	Sbar8A52T77;Sbar8A52T78;Sbar8A52T70;Sbar8A52T71;Sbar8A52T79;Sbar8A52T72;Sbar8A53T58;Sbar8C53T16;Sbar8P53T51;Sbar8A53T62;Sbar8C53T18;Sbar8A53T59;Sbar8A53T60;Sbar8A53T63;Sbar8A54T40;Sbar8C54T7;Sbar8A54T41;Sbar8C54T13;Sbar8C54T24;Sbar8C54T14;Sbar8C54T15;Sbar8C54T16;Sbar8A55T54;Sbar8A55T58;Sbar8A55T55;Sbar8A55T59;Sbar8C55T21;Sbar8A55T56;Sbar8A55T61;Sbar8A55T57;Sbar8C56T13;Sbar8C56T15;Sbar8C56T19;Sbar8A56T66;Sbar8A56T68;Sbar8C56T21;Sbar8E56T3;Sbar8E56_1;Sbar8E56T4;Sbar8A56T67;Sbar8A57T95;Sbar8C57T16	Sbar8A52T77;Sbar8A52T78;Sbar8A52T70;Sbar8A52T71;Sbar8A52T79;Sbar8A52T72;Sbar8A53T58;Sbar8C53T16;Sbar8P53T51;Sbar8A53T62;Sbar8C53T18;Sbar8A53T59;Sbar8A53T60;Sbar8A53T63;Sbar8A54T40;Sbar8C54T7;Sbar8A54T41;Sbar8C54T13;Sbar8C54T24;Sbar8C54T14;Sbar8C54T15;Sbar8C54T16;Sbar8A55T54;Sbar8A55T58;Sbar8A55T55;Sbar8A55T59;Sbar8C55T21;Sbar8A55T56;Sbar8A55T61;Sbar8A55T57;Sbar8C56T13;Sbar8C56T15;Sbar8C56T19;Sbar8A56T66;Sbar8A56T68;Sbar8C56T21;Sbar8E56T3;Sbar8E56_1;Sbar8E56T4;Sbar8A56T67;Sbar8A57T95;Sbar8C57T16
GWHAOTP00000009	GWHAOTP00000009	OriSeqID=Sbar9	Len=37649199	terpene	Sbar9C173T27;Sbar9C173T28;Sbar9A173T83;Sbar9A173T79;Sbar9A173T85;Sbar9A173T86;Sbar9P173T48;Sbar9A173T80;Sbar9A173T81;Sbar9C174T6;Sbar9A174T80;Sbar9A174T78;Sbar9A174T79;Sbar9A174T82;Sbar9E174T1;Sbar9A174T83;Sbar9C174T26;Sbar9E175T3;Sbar9P175T58;Sbar9E175T4;Sbar9A175T72;Sbar9P175T48;Sbar9P175T46	Sbar9C173T27;Sbar9C173T28;Sbar9A173T83;Sbar9A173T79;Sbar9A173T85;Sbar9A173T86;Sbar9P173T48;Sbar9A173T80;Sbar9A173T81;Sbar9C174T6;Sbar9A174T80;Sbar9A174T78;Sbar9A174T79;Sbar9A174T82;Sbar9E174T1;Sbar9A174T83;Sbar9C174T26;Sbar9E175T3;Sbar9P175T58;Sbar9E175T4;Sbar9A175T72;Sbar9P175T48;Sbar9P175T46
GWHAOTP00000009	GWHAOTP00000009	OriSeqID=Sbar9	Len=37649199	putative	Sbar9A181T60;Sbar9P182T17;Sbar9E182T0;Sbar9A182T39;Sbar9C182T11;Sbar9A183T61;Sbar9C183T5;Sbar9A183T65;Sbar9E183T0;Sbar9P183T47	Sbar9A181T60;Sbar9P182T17;Sbar9E182T0;Sbar9A182T39;Sbar9C182T11;Sbar9A183T61;Sbar9C183T5;Sbar9A183T65;Sbar9E183T0;Sbar9P183T47
GWHAOTP00000009	GWHAOTP00000009	OriSeqID=Sbar9	Len=37649199	alkaloid	Sbar9A236T212;Sbar9A236T213;Sbar9A236T220;Sbar9C236T39;Sbar9P236T101;Sbar9A236T214	Sbar9A236T212;Sbar9A236T213;Sbar9A236T220;Sbar9C236T39;Sbar9P236T101;Sbar9A236T214
GWHAOTP00000009	GWHAOTP00000009	OriSeqID=Sbar9	Len=37649199	cyclopeptide	Sbar9A260T156;Sbar9A260T157;Sbar9A260T149;Sbar9A260T158;Sbar9A260T159;Sbar9A260T160;Sbar9P260T65;Sbar9A260T161;Sbar9A260T162;Sbar9A260T150;Sbar9C261T13;Sbar9A261T111;Sbar9C261T16;Sbar9C261T17;Sbar9A261T106;Sbar9A261T107;Sbar9P261T71;Sbar9A261T112;Sbar9A261T113;Sbar9E261T11;Sbar9E261T5;Sbar9C261T21;Sbar9P261T99;Sbar9A261T109;Sbar9A261T110;Sbar9A261T114;Sbar9A262T143;Sbar9A262T148;Sbar9A262T145;Sbar9C262T33;Sbar9C262T27;Sbar9C262T28;Sbar9P262T97;Sbar9C262T35;Sbar9C262T36;Sbar9C262T30;Sbar9A262T154;Sbar9P262T108;Sbar9P263T123;Sbar9A263T185;Sbar9A263T189;Sbar9A263T186;Sbar9C263T33;Sbar9C263T26;Sbar9A263T187;Sbar9A263T191;Sbar9A263T192	Sbar9A260T156;Sbar9A260T157;Sbar9A260T149;Sbar9A260T158;Sbar9A260T159;Sbar9A260T160;Sbar9P260T65;Sbar9A260T161;Sbar9A260T162;Sbar9A260T150;Sbar9C261T13;Sbar9A261T111;Sbar9C261T16;Sbar9C261T17;Sbar9A261T106;Sbar9A261T107;Sbar9P261T71;Sbar9A261T112;Sbar9A261T113;Sbar9E261T11;Sbar9E261T5;Sbar9C261T21;Sbar9P261T99;Sbar9A261T109;Sbar9A261T110;Sbar9A261T114;Sbar9A262T143;Sbar9A262T148;Sbar9A262T145;Sbar9C262T33;Sbar9C262T27;Sbar9C262T28;Sbar9P262T97;Sbar9C262T35;Sbar9C262T36;Sbar9C262T30;Sbar9A262T154;Sbar9P262T108;Sbar9P263T123;Sbar9A263T185;Sbar9A263T189;Sbar9A263T186;Sbar9C263T33;Sbar9C263T26;Sbar9A263T187;Sbar9A263T191;Sbar9A263T192
GWHAOTP00000009	GWHAOTP00000009	OriSeqID=Sbar9	Len=37649199	terpene	Sbar9C266T21;Sbar9C266T22;Sbar9A267T153;Sbar9C267T16;Sbar9C266T23;Sbar9A267T154;Sbar9A267T155;Sbar9P267T42;Sbar9C267T27;Sbar9A267T157;Sbar9C267T20;Sbar9A267T149;Sbar9P267T69;Sbar9A267T158;Sbar9C267T24;Sbar9A267T151;Sbar9A267T159;Sbar9P267T145;Sbar9A268T180;Sbar9A268T173;Sbar9A268T174;Sbar9P268T109;Sbar9C268T26;Sbar9A268T181;Sbar9A268T176	Sbar9C266T21;Sbar9C266T22;Sbar9A267T153;Sbar9C267T16;Sbar9C266T23;Sbar9A267T154;Sbar9A267T155;Sbar9P267T42;Sbar9C267T27;Sbar9A267T157;Sbar9C267T20;Sbar9A267T149;Sbar9P267T69;Sbar9A267T158;Sbar9C267T24;Sbar9A267T151;Sbar9A267T159;Sbar9P267T145;Sbar9A268T180;Sbar9A268T173;Sbar9A268T174;Sbar9P268T109;Sbar9C268T26;Sbar9A268T181;Sbar9A268T176
GWHAOTP00000009	GWHAOTP00000009	OriSeqID=Sbar9	Len=37649199	terpene	Sbar9C270T23;Sbar9A270T157;Sbar9A270T158;Sbar9A270T164;Sbar9A270T165	Sbar9C270T23;Sbar9A270T157;Sbar9A270T158;Sbar9A270T164;Sbar9A270T165
GWHAOTP00000009	GWHAOTP00000009	OriSeqID=Sbar9	Len=37649199	saccharide	Sbar9A334T141;Sbar9A334T134;Sbar9C334T26;Sbar9C334T22;Sbar9C334T28;Sbar9A334T136	Sbar9A334T141;Sbar9A334T134;Sbar9C334T26;Sbar9C334T22;Sbar9C334T28;Sbar9A334T136
GWHAOTP00000010	GWHAOTP00000010	OriSeqID=Sbar10	Len=19336253	cyclopeptide	Sbar10P117T35;Sbar10P118T23;Sbar10P118T21;Sbar10P118T18;Sbar10C118T8;Sbar10P118T49;Sbar10A118T54;Sbar10E118T1;Sbar10E118T2;Sbar10C119T14;Sbar10A119T62;Sbar10P119T58;Sbar10E119T3;Sbar10C119T17;Sbar10E119T4;Sbar10E119T5;Sbar10E120T5;Sbar10C120T7;Sbar10A120T51;Sbar10A120T53;Sbar10P121T30;Sbar10A121T35;Sbar10A121T36;Sbar10A121T37;Sbar10P121T28;Sbar10P122T20;Sbar10A122T65;Sbar10P122T21;Sbar10A122T66;Sbar10C122T17;Sbar10A122T64;Sbar10A122T67;Sbar10A123T39;Sbar10A123T40;Sbar10E123T0;Sbar10E123T8;Sbar10P123T25;Sbar10P124T24;Sbar10A124T50;Sbar10A124T51;Sbar10A124T52;Sbar10A124T49;Sbar10P124T36;Sbar10A125T76;Sbar10E125T2;Sbar10A125T77;Sbar10A125T79;Sbar10A125T78;Sbar10A126T48;Sbar10A126T50	Sbar10P117T35;Sbar10P118T23;Sbar10P118T21;Sbar10P118T18;Sbar10C118T8;Sbar10P118T49;Sbar10A118T54;Sbar10E118T1;Sbar10E118T2;Sbar10C119T14;Sbar10A119T62;Sbar10P119T58;Sbar10E119T3;Sbar10C119T17;Sbar10E119T4;Sbar10E119T5;Sbar10E120T5;Sbar10C120T7;Sbar10A120T51;Sbar10A120T53;Sbar10P121T30;Sbar10A121T35;Sbar10A121T36;Sbar10A121T37;Sbar10P121T28;Sbar10P122T20;Sbar10A122T65;Sbar10P122T21;Sbar10A122T66;Sbar10C122T17;Sbar10A122T64;Sbar10A122T67;Sbar10A123T39;Sbar10A123T40;Sbar10E123T0;Sbar10E123T8;Sbar10P123T25;Sbar10P124T24;Sbar10A124T50;Sbar10A124T51;Sbar10A124T52;Sbar10A124T49;Sbar10P124T36;Sbar10A125T76;Sbar10E125T2;Sbar10A125T77;Sbar10A125T79;Sbar10A125T78;Sbar10A126T48;Sbar10A126T50
GWHAOTP00000010	GWHAOTP00000010	OriSeqID=Sbar10	Len=19336253	saccharide	Sbar10A169T144;Sbar10P169T82;Sbar10A169T145;Sbar10A169T146;Sbar10A169T147;Sbar10A169T148;Sbar10C169T26;Sbar10A169T149;Sbar10P170T26;Sbar10C170T19;Sbar10C170T20;Sbar10A170T149	Sbar10A169T144;Sbar10P169T82;Sbar10A169T145;Sbar10A169T146;Sbar10A169T147;Sbar10A169T148;Sbar10C169T26;Sbar10A169T149;Sbar10P170T26;Sbar10C170T19;Sbar10C170T20;Sbar10A170T149
