chr10_1	chr10_1	saccharide	RHC10H1G2071.2;RHC10H1G2072.2;RHC10H1G2073.2;RHC10H1G2074.2;RHC10H1G2075.2;RHC10H1G2076.2;RHC10H1G2077.2;RHC10H1G2078.2;RHC10H1G2079.2;RHC10H1G2080.2;RHC10H1G2081.2;RHC10H1G2082.2;RHC10H1G2083.2;RHC10H1G2084.2;RHC10H1G2085.2;RHC10H1G2086.2;RHC10H1G2087.2;RHC10H1G2088.2;RHC10H1G2089.2;RHC10H1G2090.2;RHC10H1G2091.2;RHC10H1G2092.2;RHC10H1G2093.2;RHC10H1G2094.2	RHC10H1G2071.2;RHC10H1G2072.2;RHC10H1G2073.2;RHC10H1G2074.2;RHC10H1G2075.2;RHC10H1G2076.2;RHC10H1G2077.2;RHC10H1G2078.2;RHC10H1G2079.2;RHC10H1G2080.2;RHC10H1G2081.2;RHC10H1G2082.2;RHC10H1G2083.2;RHC10H1G2084.2;RHC10H1G2085.2;RHC10H1G2086.2;RHC10H1G2087.2;RHC10H1G2088.2;RHC10H1G2089.2;RHC10H1G2090.2;RHC10H1G2091.2;RHC10H1G2092.2;RHC10H1G2093.2;RHC10H1G2094.2
chr12_1	chr12_1	saccharide	RHC12H1G2532.2;RHC12H1G2533.2;RHC12H1G2534.2;RHC12H1G2535.2;RHC12H1G2536.2;RHC12H1G2537.2;RHC12H1G2538.2;RHC12H1G2539.2;RHC12H1G2540.2;RHC12H1G2541.2;RHC12H1G2542.2;RHC12H1G2543.2;RHC12H1G2544.2;RHC12H1G2545.2;RHC12H1G2546.2;RHC12H1G2547.2;RHC12H1G2548.2;RHC12H1G2549.2;RHC12H1G2550.2;RHC12H1G2551.2	RHC12H1G2532.2;RHC12H1G2533.2;RHC12H1G2534.2;RHC12H1G2535.2;RHC12H1G2536.2;RHC12H1G2537.2;RHC12H1G2538.2;RHC12H1G2539.2;RHC12H1G2540.2;RHC12H1G2541.2;RHC12H1G2542.2;RHC12H1G2543.2;RHC12H1G2544.2;RHC12H1G2545.2;RHC12H1G2546.2;RHC12H1G2547.2;RHC12H1G2548.2;RHC12H1G2549.2;RHC12H1G2550.2;RHC12H1G2551.2
chr12_2	chr12_2	saccharide	RHC12H2G0770.2;RHC12H2G0771.2;RHC12H2G0772.2;RHC12H2G0773.2;RHC12H2G0774.2;RHC12H2G0775.2;RHC12H2G0776.2;RHC12H2G0777.2;RHC12H2G0778.2;RHC12H2G0779.2;RHC12H2G0780.2;RHC12H2G0781.2;RHC12H2G0782.2;RHC12H2G0783.2;RHC12H2G0784.2;RHC12H2G0785.2;RHC12H2G0786.2;RHC12H2G0787.2	RHC12H2G0770.2;RHC12H2G0771.2;RHC12H2G0772.2;RHC12H2G0773.2;RHC12H2G0774.2;RHC12H2G0775.2;RHC12H2G0776.2;RHC12H2G0777.2;RHC12H2G0778.2;RHC12H2G0779.2;RHC12H2G0780.2;RHC12H2G0781.2;RHC12H2G0782.2;RHC12H2G0783.2;RHC12H2G0784.2;RHC12H2G0785.2;RHC12H2G0786.2;RHC12H2G0787.2
chr12_2	chr12_2	saccharide	RHC12H2G1835.2;RHC12H2G1836.2;RHC12H2G1837.2;RHC12H2G1838.2;RHC12H2G1839.2;RHC12H2G1840.2;RHC12H2G1841.2;RHC12H2G1842.2;RHC12H2G1843.2;RHC12H2G1844.2;RHC12H2G1845.2;RHC12H2G1846.2;RHC12H2G1847.2;RHC12H2G1848.2;RHC12H2G1849.2	RHC12H2G1835.2;RHC12H2G1836.2;RHC12H2G1837.2;RHC12H2G1838.2;RHC12H2G1839.2;RHC12H2G1840.2;RHC12H2G1841.2;RHC12H2G1842.2;RHC12H2G1843.2;RHC12H2G1844.2;RHC12H2G1845.2;RHC12H2G1846.2;RHC12H2G1847.2;RHC12H2G1848.2;RHC12H2G1849.2
chr12_2	chr12_2	saccharide	RHC12H2G2556.2;RHC12H2G2557.2;RHC12H2G2558.2;RHC12H2G2559.2;RHC12H2G2560.2;RHC12H2G2561.2;RHC12H2G2562.2;RHC12H2G2563.2;RHC12H2G2564.2;RHC12H2G2565.2;RHC12H2G2566.2;RHC12H2G2567.2;RHC12H2G2568.2;RHC12H2G2569.2;RHC12H2G2570.2;RHC12H2G2571.2;RHC12H2G2572.2;RHC12H2G2573.2	RHC12H2G2556.2;RHC12H2G2557.2;RHC12H2G2558.2;RHC12H2G2559.2;RHC12H2G2560.2;RHC12H2G2561.2;RHC12H2G2562.2;RHC12H2G2563.2;RHC12H2G2564.2;RHC12H2G2565.2;RHC12H2G2566.2;RHC12H2G2567.2;RHC12H2G2568.2;RHC12H2G2569.2;RHC12H2G2570.2;RHC12H2G2571.2;RHC12H2G2572.2;RHC12H2G2573.2
chr1_1	chr1_1	alkaloid	RHC01H1G1034.2;RHC01H1G1035.2;RHC01H1G1036.2;RHC01H1G1037.2;RHC01H1G1038.2;RHC01H1G1039.2;RHC01H1G1040.2;RHC01H1G1041.2;RHC01H1G1042.2;RHC01H1G1043.2;RHC01H1G1044.2;RHC01H1G1045.2	RHC01H1G1034.2;RHC01H1G1035.2;RHC01H1G1036.2;RHC01H1G1037.2;RHC01H1G1038.2;RHC01H1G1039.2;RHC01H1G1040.2;RHC01H1G1041.2;RHC01H1G1042.2;RHC01H1G1043.2;RHC01H1G1044.2;RHC01H1G1045.2
chr1_1	chr1_1	saccharide	RHC01H1G2168.2;RHC01H1G2169.2;RHC01H1G2170.2;RHC01H1G2171.2;RHC01H1G2172.2;RHC01H1G2173.2;RHC01H1G2174.2;RHC01H1G2175.2;RHC01H1G2176.2;RHC01H1G2177.2;RHC01H1G2178.2	RHC01H1G2168.2;RHC01H1G2169.2;RHC01H1G2170.2;RHC01H1G2171.2;RHC01H1G2172.2;RHC01H1G2173.2;RHC01H1G2174.2;RHC01H1G2175.2;RHC01H1G2176.2;RHC01H1G2177.2;RHC01H1G2178.2
chr1_1	chr1_1	putative	RHC01H1G3591.2;RHC01H1G3592.2;RHC01H1G3593.2;RHC01H1G3594.2;RHC01H1G3595.2;RHC01H1G3596.2;RHC01H1G3597.2;RHC01H1G3598.2;RHC01H1G3599.2;RHC01H1G3600.2;RHC01H1G3601.2;RHC01H1G3602.2;RHC01H1G3603.2;RHC01H1G3604.2;RHC01H1G3605.2;RHC01H1G3606.2;RHC01H1G3607.2;RHC01H1G3608.2;RHC01H1G3609.2	RHC01H1G3591.2;RHC01H1G3592.2;RHC01H1G3593.2;RHC01H1G3594.2;RHC01H1G3595.2;RHC01H1G3596.2;RHC01H1G3597.2;RHC01H1G3598.2;RHC01H1G3599.2;RHC01H1G3600.2;RHC01H1G3601.2;RHC01H1G3602.2;RHC01H1G3603.2;RHC01H1G3604.2;RHC01H1G3605.2;RHC01H1G3606.2;RHC01H1G3607.2;RHC01H1G3608.2;RHC01H1G3609.2
chr1_1	chr1_1	terpene	RHC01H1G4109.2;RHC01H1G4110.2;RHC01H1G4111.2;RHC01H1G4112.2;RHC01H1G4113.2;RHC01H1G4114.2;RHC01H1G4115.2;RHC01H1G4116.2;RHC01H1G4117.2;RHC01H1G4118.2;RHC01H1G4119.2;RHC01H1G4120.2;RHC01H1G4121.2;RHC01H1G4122.2;RHC01H1G4123.2;RHC01H1G4124.2	RHC01H1G4109.2;RHC01H1G4110.2;RHC01H1G4111.2;RHC01H1G4112.2;RHC01H1G4113.2;RHC01H1G4114.2;RHC01H1G4115.2;RHC01H1G4116.2;RHC01H1G4117.2;RHC01H1G4118.2;RHC01H1G4119.2;RHC01H1G4120.2;RHC01H1G4121.2;RHC01H1G4122.2;RHC01H1G4123.2;RHC01H1G4124.2
chr1_1	chr1_1	putative	RHC01H1G4372.2;RHC01H1G4373.2;RHC01H1G4374.2;RHC01H1G4375.2;RHC01H1G4376.2;RHC01H1G4377.2;RHC01H1G4378.2;RHC01H1G4379.2;RHC01H1G4380.2;RHC01H1G4381.2;RHC01H1G4382.2;RHC01H1G4383.2;RHC01H1G4384.2;RHC01H1G4385.2;RHC01H1G4386.2;RHC01H1G4387.2;RHC01H1G4388.2	RHC01H1G4372.2;RHC01H1G4373.2;RHC01H1G4374.2;RHC01H1G4375.2;RHC01H1G4376.2;RHC01H1G4377.2;RHC01H1G4378.2;RHC01H1G4379.2;RHC01H1G4380.2;RHC01H1G4381.2;RHC01H1G4382.2;RHC01H1G4383.2;RHC01H1G4384.2;RHC01H1G4385.2;RHC01H1G4386.2;RHC01H1G4387.2;RHC01H1G4388.2
chr1_1	chr1_1	cyclopeptide	RHC01H1G4431.2;RHC01H1G4432.2;RHC01H1G4433.2;RHC01H1G4434.2;RHC01H1G4435.2;RHC01H1G4436.2;RHC01H1G4437.2;RHC01H1G4438.2;RHC01H1G4439.2;RHC01H1G4440.2;RHC01H1G4441.2;RHC01H1G4442.2;RHC01H1G4443.2;RHC01H1G4444.2;RHC01H1G4445.2;RHC01H1G4446.2;RHC01H1G4447.2;RHC01H1G4448.2;RHC01H1G4449.2;RHC01H1G4450.2;RHC01H1G4451.2;RHC01H1G4452.2;RHC01H1G4453.2;RHC01H1G4454.2;RHC01H1G4455.2;RHC01H1G4456.2;RHC01H1G4457.2;RHC01H1G4458.2;RHC01H1G4459.2;RHC01H1G4460.2;RHC01H1G4461.2;RHC01H1G4462.2;RHC01H1G4463.2;RHC01H1G4464.2;RHC01H1G4465.2;RHC01H1G4466.2;RHC01H1G4467.2;RHC01H1G4468.2;RHC01H1G4469.2;RHC01H1G4470.2;RHC01H1G4471.2;RHC01H1G4472.2;RHC01H1G4473.2;RHC01H1G4474.2;RHC01H1G4475.2;RHC01H1G4476.2;RHC01H1G4477.2;RHC01H1G4478.2;RHC01H1G4479.2	RHC01H1G4431.2;RHC01H1G4432.2;RHC01H1G4433.2;RHC01H1G4434.2;RHC01H1G4435.2;RHC01H1G4436.2;RHC01H1G4437.2;RHC01H1G4438.2;RHC01H1G4439.2;RHC01H1G4440.2;RHC01H1G4441.2;RHC01H1G4442.2;RHC01H1G4443.2;RHC01H1G4444.2;RHC01H1G4445.2;RHC01H1G4446.2;RHC01H1G4447.2;RHC01H1G4448.2;RHC01H1G4449.2;RHC01H1G4450.2;RHC01H1G4451.2;RHC01H1G4452.2;RHC01H1G4453.2;RHC01H1G4454.2;RHC01H1G4455.2;RHC01H1G4456.2;RHC01H1G4457.2;RHC01H1G4458.2;RHC01H1G4459.2;RHC01H1G4460.2;RHC01H1G4461.2;RHC01H1G4462.2;RHC01H1G4463.2;RHC01H1G4464.2;RHC01H1G4465.2;RHC01H1G4466.2;RHC01H1G4467.2;RHC01H1G4468.2;RHC01H1G4469.2;RHC01H1G4470.2;RHC01H1G4471.2;RHC01H1G4472.2;RHC01H1G4473.2;RHC01H1G4474.2;RHC01H1G4475.2;RHC01H1G4476.2;RHC01H1G4477.2;RHC01H1G4478.2;RHC01H1G4479.2
chr1_2	chr1_2	lignan	RHC01H2G0352.2;RHC01H2G0353.2;RHC01H2G0354.2;RHC01H2G0355.2;RHC01H2G0356.2;RHC01H2G0357.2;RHC01H2G0358.2;RHC01H2G0359.2;RHC01H2G0360.2;RHC01H2G0361.2;RHC01H2G0362.2;RHC01H2G0363.2;RHC01H2G0364.2;RHC01H2G0365.2	RHC01H2G0352.2;RHC01H2G0353.2;RHC01H2G0354.2;RHC01H2G0355.2;RHC01H2G0356.2;RHC01H2G0357.2;RHC01H2G0358.2;RHC01H2G0359.2;RHC01H2G0360.2;RHC01H2G0361.2;RHC01H2G0362.2;RHC01H2G0363.2;RHC01H2G0364.2;RHC01H2G0365.2
chr1_2	chr1_2	saccharide	RHC01H2G3905.2;RHC01H2G3906.2;RHC01H2G3907.2;RHC01H2G3908.2;RHC01H2G3909.2;RHC01H2G3910.2;RHC01H2G3911.2;RHC01H2G3912.2;RHC01H2G3913.2;RHC01H2G3914.2;RHC01H2G3915.2;RHC01H2G3916.2;RHC01H2G3917.2;RHC01H2G3918.2;RHC01H2G3919.2;RHC01H2G3920.2	RHC01H2G3905.2;RHC01H2G3906.2;RHC01H2G3907.2;RHC01H2G3908.2;RHC01H2G3909.2;RHC01H2G3910.2;RHC01H2G3911.2;RHC01H2G3912.2;RHC01H2G3913.2;RHC01H2G3914.2;RHC01H2G3915.2;RHC01H2G3916.2;RHC01H2G3917.2;RHC01H2G3918.2;RHC01H2G3919.2;RHC01H2G3920.2
chr1_2	chr1_2	putative	RHC01H2G4155.2;RHC01H2G4156.2;RHC01H2G4157.2;RHC01H2G4158.2;RHC01H2G4159.2;RHC01H2G4160.2;RHC01H2G4161.2;RHC01H2G4162.2;RHC01H2G4163.2;RHC01H2G4164.2;RHC01H2G4165.2;RHC01H2G4166.2;RHC01H2G4167.2;RHC01H2G4168.2;RHC01H2G4169.2	RHC01H2G4155.2;RHC01H2G4156.2;RHC01H2G4157.2;RHC01H2G4158.2;RHC01H2G4159.2;RHC01H2G4160.2;RHC01H2G4161.2;RHC01H2G4162.2;RHC01H2G4163.2;RHC01H2G4164.2;RHC01H2G4165.2;RHC01H2G4166.2;RHC01H2G4167.2;RHC01H2G4168.2;RHC01H2G4169.2
chr1_2	chr1_2	cyclopeptide	RHC01H2G4205.2;RHC01H2G4206.2;RHC01H2G4207.2;RHC01H2G4208.2;RHC01H2G4209.2;RHC01H2G4210.2;RHC01H2G4211.2;RHC01H2G4212.2;RHC01H2G4213.2;RHC01H2G4214.2;RHC01H2G4215.2;RHC01H2G4216.2;RHC01H2G4217.2;RHC01H2G4218.2;RHC01H2G4219.2;RHC01H2G4220.2;RHC01H2G4221.2;RHC01H2G4222.2;RHC01H2G4223.2;RHC01H2G4224.2;RHC01H2G4225.2;RHC01H2G4226.2;RHC01H2G4227.2;RHC01H2G4228.2;RHC01H2G4229.2;RHC01H2G4230.2;RHC01H2G4231.2;RHC01H2G4232.2;RHC01H2G4233.2;RHC01H2G4234.2;RHC01H2G4235.2;RHC01H2G4236.2;RHC01H2G4237.2;RHC01H2G4238.2;RHC01H2G4239.2;RHC01H2G4240.2;RHC01H2G4241.2;RHC01H2G4242.2;RHC01H2G4243.2;RHC01H2G4244.2;RHC01H2G4245.2;RHC01H2G4246.2;RHC01H2G4247.2;RHC01H2G4248.2;RHC01H2G4249.2;RHC01H2G4250.2;RHC01H2G4251.2;RHC01H2G4252.2;RHC01H2G4253.2;RHC01H2G4254.2;RHC01H2G4255.2;RHC01H2G4256.2;RHC01H2G4257.2;RHC01H2G4258.2;RHC01H2G4259.2;RHC01H2G4260.2;RHC01H2G4261.2;RHC01H2G4262.2;RHC01H2G4263.2	RHC01H2G4205.2;RHC01H2G4206.2;RHC01H2G4207.2;RHC01H2G4208.2;RHC01H2G4209.2;RHC01H2G4210.2;RHC01H2G4211.2;RHC01H2G4212.2;RHC01H2G4213.2;RHC01H2G4214.2;RHC01H2G4215.2;RHC01H2G4216.2;RHC01H2G4217.2;RHC01H2G4218.2;RHC01H2G4219.2;RHC01H2G4220.2;RHC01H2G4221.2;RHC01H2G4222.2;RHC01H2G4223.2;RHC01H2G4224.2;RHC01H2G4225.2;RHC01H2G4226.2;RHC01H2G4227.2;RHC01H2G4228.2;RHC01H2G4229.2;RHC01H2G4230.2;RHC01H2G4231.2;RHC01H2G4232.2;RHC01H2G4233.2;RHC01H2G4234.2;RHC01H2G4235.2;RHC01H2G4236.2;RHC01H2G4237.2;RHC01H2G4238.2;RHC01H2G4239.2;RHC01H2G4240.2;RHC01H2G4241.2;RHC01H2G4242.2;RHC01H2G4243.2;RHC01H2G4244.2;RHC01H2G4245.2;RHC01H2G4246.2;RHC01H2G4247.2;RHC01H2G4248.2;RHC01H2G4249.2;RHC01H2G4250.2;RHC01H2G4251.2;RHC01H2G4252.2;RHC01H2G4253.2;RHC01H2G4254.2;RHC01H2G4255.2;RHC01H2G4256.2;RHC01H2G4257.2;RHC01H2G4258.2;RHC01H2G4259.2;RHC01H2G4260.2;RHC01H2G4261.2;RHC01H2G4262.2;RHC01H2G4263.2
chr1_2	chr1_2	putative	RHC01H2G4524.2;RHC01H2G4525.2;RHC01H2G4526.2;RHC01H2G4527.2;RHC01H2G4528.2;RHC01H2G4529.2;RHC01H2G4530.2;RHC01H2G4531.2;RHC01H2G4532.2;RHC01H2G4533.2;RHC01H2G4534.2	RHC01H2G4524.2;RHC01H2G4525.2;RHC01H2G4526.2;RHC01H2G4527.2;RHC01H2G4528.2;RHC01H2G4529.2;RHC01H2G4530.2;RHC01H2G4531.2;RHC01H2G4532.2;RHC01H2G4533.2;RHC01H2G4534.2
chr1_2	chr1_2	saccharide	RHC01H2G4593.2;RHC01H2G4594.2;RHC01H2G4595.2;RHC01H2G4596.2;RHC01H2G4597.2;RHC01H2G4598.2;RHC01H2G4599.2;RHC01H2G4600.2;RHC01H2G4601.2;RHC01H2G4602.2;RHC01H2G4603.2;RHC01H2G4604.2;RHC01H2G4605.2;RHC01H2G4606.2;RHC01H2G4607.2;RHC01H2G4608.2;RHC01H2G4609.2;RHC01H2G4610.2	RHC01H2G4593.2;RHC01H2G4594.2;RHC01H2G4595.2;RHC01H2G4596.2;RHC01H2G4597.2;RHC01H2G4598.2;RHC01H2G4599.2;RHC01H2G4600.2;RHC01H2G4601.2;RHC01H2G4602.2;RHC01H2G4603.2;RHC01H2G4604.2;RHC01H2G4605.2;RHC01H2G4606.2;RHC01H2G4607.2;RHC01H2G4608.2;RHC01H2G4609.2;RHC01H2G4610.2
chr2_1	chr2_1	terpene	RHC02H1G1852.2;RHC02H1G1853.2;RHC02H1G1854.2;RHC02H1G1855.2;RHC02H1G1856.2;RHC02H1G1857.2;RHC02H1G1858.2;RHC02H1G1859.2;RHC02H1G1860.2	RHC02H1G1852.2;RHC02H1G1853.2;RHC02H1G1854.2;RHC02H1G1855.2;RHC02H1G1856.2;RHC02H1G1857.2;RHC02H1G1858.2;RHC02H1G1859.2;RHC02H1G1860.2
chr2_1	chr2_1	saccharide	RHC02H1G2023.2;RHC02H1G2024.2;RHC02H1G2025.2;RHC02H1G2026.2;RHC02H1G2027.2;RHC02H1G2028.2;RHC02H1G2029.2;RHC02H1G2030.2;RHC02H1G2031.2;RHC02H1G2032.2;RHC02H1G2033.2;RHC02H1G2034.2;RHC02H1G2035.2;RHC02H1G2036.2;RHC02H1G2037.2;RHC02H1G2038.2;RHC02H1G2039.2;RHC02H1G2040.2	RHC02H1G2023.2;RHC02H1G2024.2;RHC02H1G2025.2;RHC02H1G2026.2;RHC02H1G2027.2;RHC02H1G2028.2;RHC02H1G2029.2;RHC02H1G2030.2;RHC02H1G2031.2;RHC02H1G2032.2;RHC02H1G2033.2;RHC02H1G2034.2;RHC02H1G2035.2;RHC02H1G2036.2;RHC02H1G2037.2;RHC02H1G2038.2;RHC02H1G2039.2;RHC02H1G2040.2
